java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold1/train.txt -ranker 0 -test MSLR-WEB10K/Fold1/test.txt -validate MSLR-WEB10K/Fold1/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold1/train.txt
Test data:	MSLR-WEB10K/Fold1/test.txt
Validation data:	MSLR-WEB10K/Fold1/vali.txt
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/FolReading feature file [MSLR-WEB10K/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3414    | 0.3466    | 
2       | 0.3445    | 0.3509    | 
3       | 0.3543    | 0.3609    | 
4       | 0.3602    | 0.3646    | 
5       | 0.3611    | 0.3646    | 
6       | 0.3641    | 0.3683    | 
7       | 0.3643    | 0.368     | 
8       | 0.3654    | 0.3682    | 
9       | 0.3726    | 0.3751    | 
10      | 0.3778    | 0.3814    | 
11      | 0.3778    | 0.3822    | 
12      | 0.3797    | 0.3837    | 
13      | 0.3831    | 0.3857    | 
14      | 0.3847    | 0.3883    | 
15      | 0.3855    | 0.3911    | 
16      | 0.3853    | 0.3908    | 
17      | 0.3864    | 0.3925    | 
18      | 0.3868    | 0.3932    | 
19      | 0.3884    | 0.394     | 
20      | 0.3895    | 0.3955    | 
21      | 0.3905    | 0.3964    | 
22      | 0.3915    | 0.3976    | 
23      | 0.3923    | 0.3979    | 
24      | 0.3936    | 0.3989    | 
25      | 0.3945    | 0.3992    | 
26      | 0.3954    | 0.401     | 
27      | 0.3959    | 0.4015    | 
28      | 0.3969    | 0.4014    | 
29      | 0.3976    | 0.4026    | 
30      | 0.3985    | 0.4034    | 
31      | 0.3999    | 0.4049    | 
32      | 0.4004    | 0.4052    | 
33      | 0.4012    | 0.4062    | 
34      | 0.4008    | 0.4057    | 
35      | 0.4017    | 0.4065    | 
36      | 0.4028    | 0.4073    | 
37      | 0.4032    | 0.4077    | 
38      | 0.4034    | 0.408     | 
39      | 0.4039    | 0.4087    | 
40      | 0.4039    | 0.4084    | 
41      | 0.4041    | 0.4082    | 
42      | 0.4044    | 0.4086    | 
43      | 0.4048    | 0.4094    | 
44      | 0.4051    | 0.4094    | 
45      | 0.4056    | 0.4099    | 
46      | 0.4059    | 0.4105    | 
47      | 0.4065    | 0.4112    | 
48      | 0.4067    | 0.4117    | 
49      | 0.4067    | 0.4111    | 
50      | 0.4071    | 0.4113    | 
51      | 0.4072    | 0.4114    | 
52      | 0.4078    | 0.4123    | 
53      | 0.408     | 0.4124    | 
54      | 0.4086    | 0.4134    | 
55      | 0.4087    | 0.4138    | 
56      | 0.4085    | 0.4141    | 
57      | 0.4087    | 0.4142    | 
58      | 0.4088    | 0.4145    | 
59      | 0.409     | 0.4145    | 
60      | 0.4092    | 0.4148    | 
61      | 0.4092    | 0.415     | 
62      | 0.4091    | 0.4151    | 
63      | 0.4095    | 0.4151    | 
64      | 0.4095    | 0.4152    | 
65      | 0.4101    | 0.4157    | 
66      | 0.4106    | 0.4163    | 
67      | 0.4108    | 0.4171    | 
68      | 0.4113    | 0.4176    | 
69      | 0.4114    | 0.4178    | 
70      | 0.4113    | 0.4175    | 
71      | 0.4112    | 0.418     | 
72      | 0.4114    | 0.4182    | 
73      | 0.4117    | 0.4182    | 
74      | 0.4119    | 0.4181    | 
75      | 0.4118    | 0.418     | 
76      | 0.4118    | 0.4181    | 
77      | 0.4121    | 0.4185    | 
78      | 0.4119    | 0.4183    | 
79      | 0.4121    | 0.4181    | 
80      | 0.4124    | 0.4184    | 
81      | 0.4125    | 0.4187    | 
82      | 0.4129    | 0.4188    | 
83      | 0.4131    | 0.419     | 
84      | 0.4132    | 0.4187    | 
85      | 0.4135    | 0.4189    | 
86      | 0.4134    | 0.419     | 
87      | 0.4134    | 0.4194    | 
88      | 0.4133    | 0.4195    | 
89      | 0.4135    | 0.4192    | 
90      | 0.4137    | 0.4192    | 
91      | 0.4139    | 0.4194    | 
92      | 0.414     | 0.4195    | 
93      | 0.414     | 0.4193    | 
94      | 0.414     | 0.4196    | 
95      | 0.414     | 0.4197    | 
96      | 0.4144    | 0.4197    | 
97      | 0.4147    | 0.4198    | 
98      | 0.4148    | 0.4196    | 
99      | 0.4148    | 0.4197    | 
100     | 0.4148    | 0.4199    | 
101     | 0.4151    | 0.4199    | 
102     | 0.4155    | 0.4197    | 
103     | 0.4155    | 0.4197    | 
104     | 0.4156    | 0.4197    | 
105     | 0.4155    | 0.4198    | 
106     | 0.4157    | 0.42      | 
107     | 0.4158    | 0.4203    | 
108     | 0.4159    | 0.4207    | 
109     | 0.4159    | 0.4206    | 
110     | 0.4159    | 0.4205    | 
111     | 0.416     | 0.4204    | 
112     | 0.4161    | 0.4205    | 
113     | 0.4157    | 0.4206    | 
114     | 0.4155    | 0.4206    | 
115     | 0.4156    | 0.4206    | 
116     | 0.4155    | 0.4207    | 
117     | 0.4156    | 0.4206    | 
118     | 0.4158    | 0.4205    | 
119     | 0.4158    | 0.4206    | 
120     | 0.4159    | 0.4207    | 
121     | 0.416     | 0.4208    | 
122     | 0.4161    | 0.4207    | 
123     | 0.4162    | 0.4205    | 
124     | 0.4162    | 0.4204    | 
125     | 0.4163    | 0.4211    | 
126     | 0.4164    | 0.4214    | 
127     | 0.4165    | 0.4215    | 
128     | 0.4165    | 0.4215    | 
129     | 0.4166    | 0.4213    | 
130     | 0.4166    | 0.4212    | 
131     | 0.4166    | 0.4212    | 
132     | 0.4167    | 0.4212    | 
133     | 0.4167    | 0.4212    | 
134     | 0.4166    | 0.4212    | 
135     | 0.4167    | 0.4213    | 
136     | 0.4167    | 0.4211    | 
137     | 0.4167    | 0.4211    | 
138     | 0.4168    | 0.4215    | 
139     | 0.4171    | 0.4219    | 
140     | 0.4173    | 0.4219    | 
141     | 0.4175    | 0.422     | 
142     | 0.4174    | 0.4221    | 
143     | 0.4174    | 0.4219    | 
144     | 0.4175    | 0.4221    | 
145     | 0.4175    | 0.4222    | 
146     | 0.4176    | 0.4221    | 
147     | 0.4179    | 0.4221    | 
148     | 0.4179    | 0.4224    | 
149     | 0.418     | 0.4229    | 
150     | 0.4182    | 0.4231    | 
151     | 0.4179    | 0.4229    | 
152     | 0.4179    | 0.423     | 
153     | 0.4181    | 0.4231    | 
154     | 0.4182    | 0.4231    | 
