java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold2/train.txt -ranker 6 -test MSLR-WEB10K/Fold2/test.txt -validate MSLR-WEB10K/Fold2/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold2/train.txt
Test data:	MSLR-WEB10K/Fold2/test.txt
Validation data:	MSLR-WEB10K/Fold2/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold2/train.txt]... [Done.]            
(6000 ranked lists, 716683 entries read)
Reading feature file [MSLR-WEB10K/Fold2/vali.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Reading feature file [MSLR-WEB10K/Fold2/test.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3378    | 0.3351    | 
2       | 0.3582    | 0.356     | 
3       | 0.3582    | 0.356     | 
4       | 0.3584    | 0.3565    | 
5       | 0.3629    | 0.3607    | 
6       | 0.3629    | 0.3607    | 
7       | 0.3629    | 0.3607    | 
8       | 0.3646    | 0.3635    | 
9       | 0.3649    | 0.3634    | 
10      | 0.3657    | 0.363     | 
11      | 0.3671    | 0.3643    | 
12      | 0.3673    | 0.3645    | 
13      | 0.3673    | 0.3645    | 
14      | 0.3723    | 0.369     | 
15      | 0.3732    | 0.3705    | 
16      | 0.3737    | 0.371     | 
17      | 0.3738    | 0.3714    | 
18      | 0.3745    | 0.3719    | 
19      | 0.3746    | 0.3722    | 
20      | 0.3783    | 0.3746    | 
21      | 0.3786    | 0.3747    | 
22      | 0.3811    | 0.3786    | 
23      | 0.3815    | 0.379     | 
24      | 0.3822    | 0.3793    | 
25      | 0.3839    | 0.3811    | 
26      | 0.3845    | 0.3815    | 
27      | 0.3855    | 0.3826    | 
28      | 0.3861    | 0.3825    | 
29      | 0.3877    | 0.384     | 
30      | 0.3893    | 0.3852    | 
31      | 0.3896    | 0.3855    | 
32      | 0.3909    | 0.3863    | 
33      | 0.3918    | 0.3876    | 
34      | 0.3938    | 0.3895    | 
35      | 0.3953    | 0.3904    | 
36      | 0.396     | 0.3908    | 
37      | 0.3967    | 0.3917    | 
38      | 0.3973    | 0.3925    | 
39      | 0.3981    | 0.393     | 
40      | 0.3986    | 0.3938    | 
41      | 0.3992    | 0.3934    | 
42      | 0.4002    | 0.3947    | 
43      | 0.4004    | 0.395     | 
44      | 0.4009    | 0.396     | 
45      | 0.4014    | 0.3955    | 
46      | 0.4024    | 0.3967    | 
47      | 0.4029    | 0.397     | 
48      | 0.4034    | 0.3975    | 
49      | 0.4038    | 0.3985    | 
50      | 0.4044    | 0.3991    | 
51      | 0.4049    | 0.3992    | 
52      | 0.4054    | 0.3997    | 
53      | 0.4061    | 0.4004    | 
54      | 0.4062    | 0.4003    | 
55      | 0.4068    | 0.4008    | 
56      | 0.4071    | 0.4007    | 
57      | 0.4072    | 0.4009    | 
58      | 0.4078    | 0.4018    | 
59      | 0.4083    | 0.4026    | 
60      | 0.4086    | 0.403     | 
61      | 0.4089    | 0.4029    | 
62      | 0.409     | 0.4029    | 
63      | 0.4092    | 0.403     | 
64      | 0.4096    | 0.4026    | 
65      | 0.4103    | 0.4036    | 
66      | 0.4104    | 0.4039    | 
67      | 0.4108    | 0.4044    | 
68      | 0.4113    | 0.4052    | 
69      | 0.4113    | 0.4053    | 
70      | 0.4117    | 0.4057    | 
71      | 0.4124    | 0.4058    | 
72      | 0.4125    | 0.4063    | 
73      | 0.4132    | 0.4063    | 
74      | 0.4132    | 0.4068    | 
75      | 0.4134    | 0.4067    | 
76      | 0.4138    | 0.4068    | 
77      | 0.4139    | 0.4067    | 
78      | 0.4142    | 0.4071    | 
79      | 0.4147    | 0.4075    | 
80      | 0.4149    | 0.4076    | 
81      | 0.415     | 0.4078    | 
82      | 0.4153    | 0.4077    | 
83      | 0.4155    | 0.4071    | 
84      | 0.4156    | 0.4075    | 
85      | 0.4155    | 0.408     | 
86      | 0.4157    | 0.4083    | 
87      | 0.4162    | 0.4088    | 
88      | 0.4165    | 0.4091    | 
89      | 0.4166    | 0.4094    | 
90      | 0.4166    | 0.4093    | 
91      | 0.4168    | 0.4096    | 
92      | 0.4172    | 0.4101    | 
93      | 0.418     | 0.4104    | 
94      | 0.4179    | 0.4102    | 
95      | 0.418     | 0.4103    | 
96      | 0.4185    | 0.4104    | 
97      | 0.4187    | 0.4108    | 
98      | 0.4189    | 0.4112    | 
99      | 0.419     | 0.411     | 
100     | 0.4192    | 0.4113    | 
101     | 0.4195    | 0.4116    | 
102     | 0.4195    | 0.4117    | 
103     | 0.4195    | 0.4119    | 
104     | 0.4196    | 0.4121    | 
105     | 0.4198    | 0.4122    | 
106     | 0.42      | 0.4122    | 
107     | 0.4202    | 0.4119    | 
108     | 0.4204    | 0.4119    | 
109     | 0.4205    | 0.4126    | 
110     | 0.421     | 0.4129    | 
111     | 0.4212    | 0.4132    | 
112     | 0.4212    | 0.4131    | 
113     | 0.4212    | 0.4131    | 
114     | 0.4213    | 0.4138    | 
115     | 0.4213    | 0.4138    | 
116     | 0.4214    | 0.4138    | 
117     | 0.4214    | 0.4138    | 
118     | 0.4219    | 0.4138    | 
119     | 0.422     | 0.414     | 
120     | 0.4222    | 0.414     | 
121     | 0.4222    | 0.4143    | 
122     | 0.4224    | 0.4145    | 
123     | 0.4223    | 0.4145    | 
124     | 0.4225    | 0.4145    | 
125     | 0.4228    | 0.4146    | 
126     | 0.4227    | 0.4149    | 
127     | 0.423     | 0.4151    | 
128     | 0.4229    | 0.4154    | 
129     | 0.4232    | 0.415     | 
130     | 0.4233    | 0.4151    | 
131     | 0.4236    | 0.415     | 
132     | 0.4236    | 0.4151    | 
