ResNet-62-180:RankLib yantseytsai$ java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold3/train.txt -ranker 3 -test MSLR-WEB10K/Fold3/test.txt -validate MSLR-WEB10K/Fold3/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold3/train.txt
Test data:	MSLR-WEB10K/Fold3/test.txt
Validation data:	MSLR-WEB10K/Fold3/vali.txt
Feature vector representation: Dense.
Ranking method:	AdaRank
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] AdaRank's Parameters:
No. of rounds: 100
Train with 'enequeue': Yes
Tolerance: 0.002
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K/Fold3/train.txt]... [Done.]            
(6000 ranked lists, 719111 entries read)
Reading feature file [MSLR-WEB10K/Fold3/vali.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Reading feature file [MSLR-WEB10K/Fold3/test.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    | 
--------------------------------------------------------
1       | 134      | 0.3202    | 0.3232    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 113      | 0.2838    | 0.2834    | OK        | 
4       | 110      | 0.3002    | 0.2933    | OK        | 
5       | 49       | 0.3006    | 0.2941    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.3007    | 0.2938    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 109      | 0.3052    | 0.2982    | OK        | 
10      | 109      |           |           | ROLLBACK  | 
11      | 124      | 0.2953    | 0.2887    | DAMN      | 
11      | 109      | 0.3052    | 0.2982    | OK        | 
12      | 109      | 0.302     | 0.294     | DAMN      | 
12      | 64       | 0.3053    | 0.2983    | OK        | 
13      | 64       | 0.3055    | 0.2985    | OK        | 
14      | 64       | 0.3056    | 0.2988    | OK        | 
15      | 64       | 0.3057    | 0.2987    | OK        | 
16      | 135      | 0.3159    | 0.3122    | OK        | 
17      | 64       | 0.316     | 0.3121    | OK        | 
18      | 64       | 0.316     | 0.3121    | OK        | 
19      | 64       | 0.316     | 0.3122    | OK        | 
20      | 112      | 0.3194    | 0.3162    | OK        | 
21      | 112      | 0.3205    | 0.3176    | OK        | 
22      | 112      | 0.3201    | 0.3173    | OK        | 
23      | 112      | 0.3198    | 0.3166    | OK        | 
24      | 112      | 0.3192    | 0.317     | OK        | 
25      | 112      | 0.319     | 0.317     | OK        | 
26      | 112      | 0.319     | 0.3173    | OK        | 
27      | 123      | 0.3224    | 0.3214    | OK        | 
28      | 123      | 0.3249    | 0.3238    | OK        | 
29      | 123      | 0.3268    | 0.326     | OK        | 
30      | 123      | 0.3284    | 0.3278    | OK        | 
31      | 123      | 0.3293    | 0.3289    | OK        | 
32      | 123      | 0.3301    | 0.3302    | OK        | 
33      | 123      | 0.3314    | 0.3314    | OK        | 
34      | 112      | 0.3314    | 0.3311    | OK        | 
35      | 112      | 0.331     | 0.3311    | OK        | 
36      | 112      | 0.3307    | 0.3309    | OK        | 
37      | 124      | 0.3308    | 0.331     | OK        | 
38      | 124      | 0.3307    | 0.331     | OK        | 
39      | 124      | 0.3305    | 0.331     | OK        | 
40      | 124      | 0.3303    | 0.3312    | OK        | 
41      | 124      | 0.3301    | 0.331     | OK        | 
42      | 124      | 0.3298    | 0.3307    | OK        | 
43      | 112      | 0.3299    | 0.3313    | OK        | 
44      | 112      | 0.3299    | 0.3311    | OK        | 
45      | 112      | 0.3298    | 0.3308    | OK        | 
