java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 2 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
1       | 8        | 0.5       | 0.0997    | 0.8057    | 0.2282    | 
2       | 63       | 0.1       | 0.0684    | 0.7221    | 0.246     | 
3       | 104      | 0.2       | 0.0547    | 0.5743    | 0.2596    | 
4       | 8        | 0.7       | 0.0473    | 0.5623    | 0.2645    | 
5       | 49       | 0.1636    | 0.0319    | 0.5041    | 0.2789    | 
6       | 103      | 0.8       | 0.0301    | 0.5022    | 0.2797    | 
7       | 7        | 0.3       | 0.0293    | 0.4324    | 0.2965    | 
8       | 105      | 0.9       | 0.0251    | 0.4182    | 0.2989    | 
9       | 130      | 19730.5   | 0.0255    | 0.3862    | 0.3098    | 
10      | 131      | 45874.8   | 0.0243    | 0.3662    | 0.3134    | 
11      | 109      | 11.0225   | 0.0219    | 0.3619    | 0.312     | 
12      | 57       | 0.1       | 0.0201    | 0.3583    | 0.3124    | 
13      | 105      | 0.8       | 0.0191    | 0.3581    | 0.312     | 
14      | 130      | 39361.0   | 0.0183    | 0.3543    | 0.3139    | 
15      | 58       | 0.1       | 0.0174    | 0.354     | 0.3146    | 
16      | 3        | 2.7       | 0.0165    | 0.3551    | 0.3147    | 
17      | 115      | -19.225   | 0.0152    | 0.3547    | 0.3156    | 
18      | 48       | 0.475     | 0.0149    | 0.3464    | 0.3174    | 
19      | 129      | 17.8      | 0.0148    | 0.3435    | 0.3195    | 
20      | 3        | 2.7       | 0.0144    | 0.344     | 0.3196    | 
21      | 7        | 0.4       | 0.014     | 0.3423    | 0.3192    | 
22      | 130      | 45904.5   | 0.0137    | 0.3439    | 0.322     | 
23      | 115      | -19.225   | 0.0137    | 0.3444    | 0.3222    | 
24      | 109      | 11.0225   | 0.0135    | 0.3438    | 0.321     | 
25      | 131      | 45874.8   | 0.0134    | 0.3435    | 0.3208    | 
26      | 3        | 2.7       | 0.0129    | 0.3438    | 0.3206    | 
27      | 115      | -19.225   | 0.0124    | 0.344     | 0.321     | 
28      | 129      | 17.8      | 0.0117    | 0.345     | 0.3216    | 
29      | 3        | 2.7       | 0.0116    | 0.3452    | 0.3219    | 
30      | 115      | -19.225   | 0.0113    | 0.3456    | 0.3219    | 
31      | 49       | 0.2455    | 0.0111    | 0.3438    | 0.3234    | 
32      | 130      | 13187.0   | 0.0109    | 0.3439    | 0.3252    | 
33      | 115      | -19.225   | 0.0106    | 0.3442    | 0.3254    | 
34      | 3        | 2.7       | 0.0103    | 0.3443    | 0.3253    | 
35      | 129      | 17.8      | 0.01      | 0.3442    | 0.3259    | 
36      | 48       | 0.475     | 0.0097    | 0.3441    | 0.3264    | 
37      | 130      | 58991.5   | 0.0096    | 0.3445    | 0.3272    | 
38      | 115      | -19.225   | 0.0096    | 0.3447    | 0.3274    | 
39      | 107      | 14.7495   | 0.0095    | 0.3439    | 0.3274    | 
40      | 64       | 0.1235    | 0.0093    | 0.3438    | 0.3278    | 
41      | 116      | -18.5667  | 0.0092    | 0.3433    | 0.3281    | 
