java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 6 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3403    | 0.3444    | 
2       | 0.3627    | 0.3655    | 
3       | 0.3637    | 0.3658    | 
4       | 0.3627    | 0.3649    | 
5       | 0.3639    | 0.3657    | 
6       | 0.3639    | 0.3656    | 
7       | 0.365     | 0.3671    | 
8       | 0.365     | 0.3674    | 
9       | 0.3658    | 0.368     | 
10      | 0.3658    | 0.368     | 
11      | 0.3664    | 0.3685    | 
12      | 0.3673    | 0.3696    | 
13      | 0.3674    | 0.3696    | 
14      | 0.3716    | 0.3741    | 
15      | 0.373     | 0.3744    | 
16      | 0.3768    | 0.3791    | 
17      | 0.3767    | 0.3786    | 
18      | 0.3777    | 0.3784    | 
19      | 0.3781    | 0.3786    | 
20      | 0.3803    | 0.3801    | 
21      | 0.3804    | 0.3802    | 
22      | 0.381     | 0.3807    | 
23      | 0.3819    | 0.3816    | 
24      | 0.382     | 0.3816    | 
25      | 0.3823    | 0.3821    | 
26      | 0.3834    | 0.3843    | 
27      | 0.3867    | 0.3872    | 
28      | 0.3892    | 0.3891    | 
29      | 0.3903    | 0.3897    | 
30      | 0.3904    | 0.3899    | 
31      | 0.3909    | 0.3909    | 
32      | 0.3915    | 0.3917    | 
33      | 0.3929    | 0.3919    | 
34      | 0.3946    | 0.3935    | 
35      | 0.3958    | 0.3939    | 
36      | 0.3963    | 0.3946    | 
37      | 0.3969    | 0.3951    | 
38      | 0.3976    | 0.3958    | 
39      | 0.3983    | 0.3969    | 
40      | 0.3994    | 0.3975    | 
41      | 0.3998    | 0.3974    | 
42      | 0.4003    | 0.3985    | 
43      | 0.4014    | 0.3997    | 
44      | 0.4018    | 0.3998    | 
45      | 0.4021    | 0.4006    | 
46      | 0.4024    | 0.4005    | 
47      | 0.4031    | 0.4016    | 
48      | 0.4037    | 0.4021    | 
49      | 0.4046    | 0.4026    | 
50      | 0.4052    | 0.4029    | 
51      | 0.4057    | 0.403     | 
52      | 0.4063    | 0.4034    | 
