java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold5/train.txt -ranker 0 -test MSLR-WEB10K/Fold5/test.txt -validate MSLR-WEB10K/Fold5/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold5/train.txt
Test data:	MSLR-WEB10K/Fold5/test.txt
Validation data:	MSLR-WEB10K/Fold5/vali.txt
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold5/train.txt]... [Done.]            
(6000 ranked lists, 722602 entries read)
Reading feature file [MSLR-WEB10K/Fold5/vali.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Reading feature file [MSLR-WEB10K/Fold5/test.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3431    | 0.3409    | 
2       | 0.3497    | 0.3475    | 
3       | 0.352     | 0.3479    | 
4       | 0.3513    | 0.3475    | 
5       | 0.3575    | 0.3557    | 
6       | 0.3634    | 0.3627    | 
7       | 0.3657    | 0.3648    | 
8       | 0.368     | 0.3683    | 
9       | 0.3691    | 0.3688    | 
10      | 0.3769    | 0.3781    | 
11      | 0.3773    | 0.378     | 
12      | 0.3786    | 0.3797    | 
13      | 0.3793    | 0.3809    | 
14      | 0.3819    | 0.385     | 
15      | 0.3854    | 0.3876    | 
16      | 0.3863    | 0.3885    | 
17      | 0.3875    | 0.3893    | 
18      | 0.3892    | 0.3919    | 
19      | 0.3904    | 0.3927    | 
20      | 0.3915    | 0.3933    | 
21      | 0.3919    | 0.3945    | 
22      | 0.3927    | 0.3953    | 
23      | 0.395     | 0.3972    | 
24      | 0.3953    | 0.3981    | 
25      | 0.3964    | 0.3982    | 
26      | 0.3976    | 0.3991    | 
27      | 0.398     | 0.4001    | 
28      | 0.3991    | 0.401     | 
29      | 0.3999    | 0.4012    | 
30      | 0.4004    | 0.4014    | 
31      | 0.4009    | 0.4019    | 
32      | 0.401     | 0.4021    | 
33      | 0.4018    | 0.4029    | 
34      | 0.4026    | 0.4032    | 
35      | 0.4027    | 0.4029    | 
36      | 0.4029    | 0.4036    | 
37      | 0.4036    | 0.4045    | 
38      | 0.4039    | 0.405     | 
39      | 0.404     | 0.4054    | 
40      | 0.4052    | 0.4066    | 
41      | 0.4056    | 0.407     | 
42      | 0.4058    | 0.4068    | 
43      | 0.4058    | 0.4072    | 
44      | 0.4058    | 0.4071    | 
45      | 0.406     | 0.408     | 
46      | 0.4065    | 0.4082    | 
47      | 0.4065    | 0.4081    | 
48      | 0.4064    | 0.4083    | 
49      | 0.406     | 0.4085    | 
50      | 0.4063    | 0.4086    | 
51      | 0.4067    | 0.4092    | 
52      | 0.4065    | 0.4088    | 
53      | 0.4069    | 0.4089    | 
54      | 0.4072    | 0.4096    | 
55      | 0.4076    | 0.4097    | 
56      | 0.4076    | 0.41      | 
57      | 0.408     | 0.4106    | 
58      | 0.408     | 0.4109    | 
59      | 0.4085    | 0.4109    | 
60      | 0.4084    | 0.4112    | 
61      | 0.4088    | 0.411     | 
62      | 0.4089    | 0.4107    | 
63      | 0.4092    | 0.4113    | 
64      | 0.4097    | 0.4117    | 
65      | 0.4099    | 0.412     | 
66      | 0.41      | 0.4118    | 
67      | 0.4103    | 0.4124    | 
68      | 0.4107    | 0.4123    | 
69      | 0.4105    | 0.4123    | 
70      | 0.4104    | 0.4123    | 
71      | 0.4108    | 0.4128    | 
72      | 0.4112    | 0.4128    | 
73      | 0.4111    | 0.4128    | 
74      | 0.4112    | 0.413     | 
75      | 0.4116    | 0.4132    | 
76      | 0.4117    | 0.4133    | 
77      | 0.4119    | 0.414     | 
